ima_method_id,ima_method_revision_id,ima_method_assembly_id,ima_level,ima_part_id,ima_part_revision_id,ima_unit_of_measure,ima_part_short_description,ima_part_long_description_text,ima_use_method,ima_source_method_id,ima_source_revision_id,ima_production_notes_text,ima_quantity_per_parent,ima_pull_all_from_stock,ima_documents,ima_created_by,ima_created_date
S025-0529,0,0,1,S025-0529,0,EA,1418-36213-0 CLAMP,,FALSE,,,,1,FALSE,8433,,
Y002-0511,0,0,1,Y002-0511,0,EA,YT448221 TANK SHELL TOP 25.63 56.43 .250,,FALSE,,,,1,FALSE,5807,,
S038-0464,0,0,1,S038-0464,0,EA,F.8X6-013-IBC-BASE,,FALSE,,,,1,FALSE,6055,,
S038-0469,0,0,1,S038-0469,0,EA,F.8x3X011.375-IBC,,FALSE,,,,1,FALSE,6052,,
C006-0604,0,0,1,C006-0604,0,EA,GRAY TEXTURED TOUCH UP PAINT,,FALSE,,,,1,FALSE,,,
S038-0477,0,0,1,S038-0477,0,EA,S.3-02X008.25-SLG,,FALSE,,,,1,FALSE,5912,,
Y002-0520,0,0,1,Y002-0520,0,EA,YT435647B-AO 3.0 FLANGE BRACKET 4.94 6.00 7G,,FALSE,,,,1,FALSE,5922,,
Y002-0539,0,0,1,Y002-0539,0,EA,YT438304B-AO DRIVE CHANNEL SHIM 3.38 12.19 11G,,FALSE,,,,1,FALSE,5943,,
Y002-0541,0,0,1,Y002-0541,0,EA,YT438327B-AO 3.0 SHROUD BRACKET 4.75 7.07 7G,,FALSE,,,,1,FALSE,5945,,
Y002-0525,0,0,1,Y002-0525,0,EA,YT435845B-AO BELT GUARD ANGLE 11.15 14.34 7G,,FALSE,,,,1,FALSE,5929,,
Y002-0529,0,0,1,Y002-0529,0,EA,YT435873B-AO 6.00 SHROUD BRACKET BOT 4.62 7.75 7G,,FALSE,,,,1,FALSE,5932,,
Y002-0565,0,0,1,Y002-0565,0,EA,YT441353B-AO LEVEL GAUGE BRACKET 7G,,FALSE,,,,1,FALSE,6014,,
Y002-0573,0,0,1,Y002-0573,0,EA,YT442326B-AO 6.00 RAD BASE BRACKET ASY 14.25,,FALSE,,,,1,FALSE,6024,,
Y002-0574,0,0,1,Y002-0574,0,EA,YT442369B-AO SURGE TANK BRACKET ASY RH 6.83,,FALSE,,,,1,FALSE,"6028
6029
6030
6031",,
S038-0487,0,0,1,S038-0487,0,EA,F.8X7-011-IBC-BASE,,FALSE,,,,1,FALSE,5950,,
S025-0547,0,0,1,S025-0547,0,EA,1418-04064-0S BRACKET,,FALSE,,,,1,FALSE,6185,,
S025-0553,0,0,1,S025-0553,0,EA,1418-36173-0S CLAMP,,FALSE,,,,1,FALSE,6191,,
S038-0500,0,0,1,S038-0500,0,EA,CLIP-PLC4,,FALSE,,,,1,FALSE,6238,,
M026-0559,0,0,1,M026-0559,0,EA,3005-6141-00S3,,FALSE,,,,1,FALSE,12737,,
T042-0027,0,0,1,T042-0027,0,EA,STEEL PLATE WITH HOLE,,FALSE,,,,1,FALSE,13547,,
M026-0580,0,0,1,M026-0580,0,EA,1052-03D-004-0000 Panel Brace Bracket,,FALSE,,,,1,FALSE,13442,,
S039-1363,0,0,1,S039-1363,0,EA,"20263324-1 - 3/4"" HR PLATE",,FALSE,,,,1,FALSE,16990,,
K016-0730,0,0,1,K016-0730,0,EA,MASTER MOVER SIDE PLATE,,FALSE,,,,1,FALSE,16729,,
S039-1364,0,0,1,S039-1364,0,EA,SM38251 OS,,FALSE,,,,1,FALSE,17045,,
S039-1365,0,0,1,S039-1365,0,EA,SM38263 OS,,FALSE,,,,1,FALSE,17045,,
H005-0097,0,0,1,H005-0097,0,EA,Modifiedyarnguide16hole,,FALSE,,,,1,FALSE,17039,,
K016-0762,0,0,1,K016-0762,0,EA,100921697 POWDER COAT ONLY,,FALSE,,,,1,FALSE,,,
K016-0763,0,0,1,K016-0763,0,EA,100921252 POWDER COAT ONLY,,FALSE,,,,1,FALSE,,,
H005-0092,0,0,1,H005-0092,0,EA,yarnguide8hole,,FALSE,,,,1,FALSE,13925,,
H005-0093,0,0,1,H005-0093,0,EA,yarnguide16hole,,FALSE,,,,1,FALSE,13935,,
M026-0583,0,0,1,M026-0583,0,EA,1052-03C-006-0000 Front Duct Support 1 Assembly,,FALSE,,,,1,FALSE,13453,,
M026-0581,0,0,1,M026-0581,0,EA,1052-03C-004-0000 Duct Pillar Upper Frame,,FALSE,,,,1,FALSE,13443,,
M026-0585,0,0,1,M026-0585,0,EA,1052-03C-010-0000 Rear Panel Brace Assembly,,FALSE,,,,1,FALSE,13456,,
D002-2509,0,0,1,D002-2509,0,EA,M17548 DP Long Kick 9341,,FALSE,,,,1,FALSE,13727,,
H005-0096,0,0,1,H005-0096,0,EA,Rack Mag Guard,,FALSE,,,,1,FALSE,14378,,
K008-0007,0,0,1,K008-0007,0,EA,level sensor clip,,FALSE,,,,1,FALSE,14172,,
M046-0047,0,0,1,M046-0047,0,EA,B - Trough 16GA_304SS#4_X1,,FALSE,,,,1,FALSE,16627,,
S046-0480,0,0,1,S046-0480,0,EA,105-247-FAI,,FALSE,,,,1,FALSE,16676,,
M026-0637,0,0,1,M026-0637,0,EA,3/8X1.75X12,,FALSE,,,,1,FALSE,16663,,
M026-0638,0,0,1,M026-0638,0,EA,3/8X17.25X24.312,,FALSE,,,,1,FALSE,16664,,
M026-0642,0,0,1,M026-0642,0,EA,3/8X1.75X6.25,,FALSE,,,,1,FALSE,16668,,
M026-0625,0,0,1,M026-0625,0,EA,1/4x.625x3.75,,FALSE,,,,1,FALSE,16651,,
M026-0629,0,0,1,M026-0629,0,EA,3/8X6.25X9.625,,FALSE,,,,1,FALSE,16655,,
M026-0632,0,0,1,M026-0632,0,EA,3/8X5.25X5.25,,FALSE,,,,1,FALSE,16658,,
M026-0634,0,0,1,M026-0634,0,EA,3/8X7.125X9.75,,FALSE,,,,1,FALSE,16660,,
M026-0645,0,0,1,M026-0645,0,EA,3/8X6.625X10.94,,FALSE,,,,1,FALSE,16671,,
M026-0646,0,0,1,M026-0646,0,EA,3/8X10.13X12.3175,,FALSE,,,,1,FALSE,16672,,
M026-0647,0,0,1,M026-0647,0,EA,3/8X6.625X10.13,,FALSE,,,,1,FALSE,16674,,
M026-0648,0,0,1,M026-0648,0,EA,3/8X1.875,,FALSE,,,,1,FALSE,16675,,
S039-1173,0,0,1,S039-1173,0,EA,417-001-240,,FALSE,,,,1,FALSE,16374,,
S039-1169,0,0,1,S039-1169,0,EA,418-000-835,,FALSE,,,,1,FALSE,16370,,
S039-1170,0,0,1,S039-1170,0,EA,418-000-836,,FALSE,,,,1,FALSE,16371,,
D017-0076,0,0,1,D017-0076,0,EA,11ga BENT BRACKET,,FALSE,,,,1,FALSE,14782,,
S039-1172,0,0,1,S039-1172,0,EA,417-001-239,,FALSE,,,,1,FALSE,16373,,
S046-0369,0,0,1,S046-0369,0,EA,"120-240 75-100HP-DBR-BRKT, ENCLOSURE ACCESSORY",,FALSE,,,,1,FALSE,15267,,
H030-0045,0,0,1,H030-0045,0,EA,900-1622,,FALSE,,,,1,FALSE,15335,,
H030-0046,0,0,1,H030-0046,0,EA,900-1623,,FALSE,,,,1,FALSE,15336,,
H030-0047,0,0,1,H030-0047,0,EA,900-1624,,FALSE,,,,1,FALSE,15337,,
H030-0048,0,0,1,H030-0048,0,EA,900-1625,,FALSE,,,,1,FALSE,15338,,
H030-0049,0,0,1,H030-0049,0,EA,"PLATE 15.5"" X 27.375"" X .25"" HRPO",,FALSE,,,,1,FALSE,,,
N008-0179,0,0,1,N008-0179,0,EA,Material S - 190 mm Diameter Blanks,,FALSE,,,,1,FALSE,15373,,
N008-0178,0,0,1,N008-0178,0,EA,Material G - 190 mm Diameter Blanks,,FALSE,,,,1,FALSE,15372,,
LVL 3 WELD TEST,0,0,1,LVL 3 WELD TEST,0,EA,LVL 3 WELD TEST,,FALSE,,,,1,FALSE,"15383
15384",,
S039-1178,0,0,1,S039-1178,0,EA,418-000-887,,FALSE,,,,1,FALSE,16379,,
S038-1006,0,0,1,S038-1006,0,EA,HS07-5X042MA041441410026,,FALSE,,,,1,FALSE,15979,,
C060-0019,0,0,1,C060-0019,0,EA,78697-03 COMPACT LID STAY,,FALSE,,,,1,FALSE,15852,,
M046-0050,0,0,1,M046-0050,0,EA,31972,,FALSE,,,,1,FALSE,,,
M026-0626,0,0,1,M026-0626,0,EA,1/4x.6x3.50,,FALSE,,,,1,FALSE,16652,,
M026-0627,0,0,1,M026-0627,0,EA,1/4x3.54x6.625,,FALSE,,,,1,FALSE,16653,,
M026-0628,0,0,1,M026-0628,0,EA,1/4x3.54x3.313,,FALSE,,,,1,FALSE,16654,,
M026-0630,0,0,1,M026-0630,0,EA,3/8X10.13X15.25,,FALSE,,,,1,FALSE,16656,,
M026-0631,0,0,1,M026-0631,0,EA,3/8X1.625X10.13,,FALSE,,,,1,FALSE,16657,,
M026-0633,0,0,1,M026-0633,0,EA,3/8X12X15.062,,FALSE,,,,1,FALSE,16659,,
M026-0635,0,0,1,M026-0635,0,EA,3/8X6.25X9.75,,FALSE,,,,1,FALSE,16661,,
M026-0639,0,0,1,M026-0639,0,EA,3/8X6.25X9.75,,FALSE,,,,1,FALSE,16665,,
M026-0640,0,0,1,M026-0640,0,EA,3/8X6.25X9.75,,FALSE,,,,1,FALSE,16666,,
M026-0641,0,0,1,M026-0641,0,EA,3/8X1.96X9.508,,FALSE,,,,1,FALSE,16667,,
M046-0046,0,0,1,M046-0046,0,EA,A - Trough 16GA_304SS#4_X1,,FALSE,,,,1,FALSE,16626,,
M040-0274,0,0,1,M040-0274,0,EA,DETAIL 11,,FALSE,,,,1,FALSE,16121,,
M040-0276,0,0,1,M040-0276,0,EA,DETAIL 8,,FALSE,,,,1,FALSE,16123,,
M040-0277,0,0,1,M040-0277,0,EA,DETAIL 4,,FALSE,,,,1,FALSE,16124,,
M040-0279,0,0,1,M040-0279,0,EA,DETAIL 18,,FALSE,,,,1,FALSE,16126,,
M040-0280,0,0,1,M040-0280,0,EA,DETAIL 19,,FALSE,,,,1,FALSE,16127,,
Y002-0660,0,0,1,Y002-0660,0,EA,YT451977-BL,,FALSE,,,,1,FALSE,"16235
16236
16237
16238",,
Y002-0661,0,0,1,Y002-0661,0,EA,YT451979-BL,,FALSE,,,,1,FALSE,"16239
16240
16241
16242",,
Y002-0663,0,0,1,Y002-0663,0,EA,YT444981 SIDEFRAME END PLATE 1.32 7.08 .258 HSLA,,FALSE,,,,1,FALSE,16227,,
Y002-0664,0,0,1,Y002-0664,0,EA,YT451793 SIDEFRAME ENDPLATE PEL RH 7.11 8.00 .375,,FALSE,,,,1,FALSE,16228,,
Y002-0665,0,0,1,Y002-0665,0,EA,YT452158 SIDEFRAME ENDPLATE BOT LH 5.50 7.11 .375,,FALSE,,,,1,FALSE,16229,,
Y002-0666,0,0,1,Y002-0666,0,EA,YT452386 MOUNTING PLATE 7.07 7.11 .375 HSLA,,FALSE,,,,1,FALSE,16230,,
L019-0003,0,0,1,L019-0003,0,EA,4367-07,,FALSE,,,,1,FALSE,,,
S039-1174,0,0,1,S039-1174,0,EA,418-000-760,,FALSE,,,,1,FALSE,16375,,
S024-0063,0,0,1,S024-0063,0,EA,C7-09 D00R,,FALSE,,,,1,FALSE,16438,,
S046-0471,0,0,1,S046-0471,0,EA,"115-089 DUCTWORK, LAC RETRO SIDE VENT CVR",,FALSE,,,,1,FALSE,16473,,
M026-0636,0,0,1,M026-0636,0,EA,3/8X6.25X9.75,,FALSE,,,,1,FALSE,16662,,
N012-0106,0,0,1,N012-0106,0,EA,DOBBSSIGN,,FALSE,,,,1,FALSE,16689,,
Y002-0681,0,0,1,Y002-0681,0,EA,YT448741 SURGE TANK SHELL **FORM ONLY,,FALSE,,,,1,FALSE,16748,,
M047-0092,0,0,1,M047-0092,0,EA,2918-001,,FALSE,,,,1,FALSE,16695,,
M047-0093,0,0,1,M047-0093,0,EA,002917_002,,FALSE,,,,1,FALSE,16696,,
K016-0729,0,0,1,K016-0729,0,EA,MASTER MOVER RECEIVER BLOCK,,FALSE,,,,1,FALSE,16728,,
K016-0731,0,0,1,K016-0731,0,EA,3-8FIN PRESS PLATE,,FALSE,,,,1,FALSE,16730,,
A029-0230,0,0,1,A029-0230,0,EA,70500028C  BRACKET 1/4 C ONLY SS - FLAT,,FALSE,,,,1,FALSE,16821,,
S039-1349,0,0,1,S039-1349,0,EA,INSIDE ANGLE,,FALSE,,,,1,FALSE,16969,,
S039-1350,0,0,1,S039-1350,0,EA,OUTSIDE ANGLE,,FALSE,,,,1,FALSE,16970,,
T053-0001,0,0,1,T053-0001,0,EA,SS BACKSPLASH,,FALSE,,,,1,FALSE,,,
A045-0008,0,0,1,A045-0008,0,EA,"MS-304 MS-SSSP 5/8"" THREADED ROD","MS-304 MS-SSSP 5/8"" THREADED ROD  CUT 14 INCHES LONG",FALSE,,,,1,FALSE,8026,,
K007-1487,0,0,1,K007-1487,0,EA,"P8809KT DIAMOND/FLOOR PLATE, 30"" X 52"" X 3/16"" HDG","P8809KT diamond/Floor Plate, 30x 52x 3/16in HDg",FALSE,,,,1,FALSE,4666,,
R029-0005,0,0,1,R029-0005,0,EA,Parametric Trailer Tub,Parametric Trailer Tub,FALSE,,,,1,FALSE,,,
H030-0051,0,0,1,H030-0051,0,EA,900-1639 (1515-ECF01),900-1639 (1515-ECF01),FALSE,,,,1,FALSE,15414,,
M029-0032,0,0,1,M029-0032,0,EA,865351,ITEM 1 - DUCT PLATE - STD-40-002,FALSE,,,,1,FALSE,16327,,
K016-0682,0,0,1,K016-0682,0,EA,UXF-NX100Y6-101,HDR E/PLT NX Y6,FALSE,,,,1,FALSE,13665,,
S046-0451,0,0,1,S046-0451,0,EA,105-237,"105-237 PANEL, SP-PANEL-FR5-HUGES",FALSE,,,,1,FALSE,16145,,
M040-0267,0,0,1,M040-0267,0,EA,OUTSOURCE DETAIL 40 23701,OUTSOURCE DETAIL 40 23701,FALSE,,,,1,FALSE,16104,,
M026-0618,0,0,1,M026-0618,0,EA,1053-07D-0020000,1053-07D-0020000 GAS PIPE(7) PLATE 2,FALSE,,,,1,FALSE,16155,,
M040-0281,0,0,1,M040-0281,0,EA,Outsource 20709-B,DETAIL 2.2,FALSE,,,,1,FALSE,16128,,
S038-1012,0,0,1,S038-1012,0,EA,CLIP-IA-07.875-278645,"CLIP 7 GA. 4 9/16"" X 7 7/8""",FALSE,,,,1,FALSE,16144,,
H030-0077,0,0,1,H030-0077,0,EA,900-1809,900-1809 STTF03,FALSE,,,,1,FALSE,16075,,
H030-0079,0,0,1,H030-0079,0,EA,900-1811,900-1811 STTF05,FALSE,,,,1,FALSE,16077,,
H030-0080,0,0,1,H030-0080,0,EA,900-1812,900-1812 STTF06,FALSE,,,,1,FALSE,16078,,
H030-0081,0,0,1,H030-0081,0,EA,900-1813,900-1813 STTF07,FALSE,,,,1,FALSE,16079,,
H030-0083,0,0,1,H030-0083,0,EA,900-1815,900-1815 STTF09,FALSE,,,,1,FALSE,16081,,
H030-0085,0,0,1,H030-0085,0,EA,900-1816,900-1816 STTF10,FALSE,,,,1,FALSE,16083,,
B035-0003,0,0,1,B035-0003,0,EA,180509010P01,"1/4"" LIFTING LUG",FALSE,,,,1,FALSE,16116,,
H030-0076,0,0,1,H030-0076,0,EA,900-1808,900-1808 STTF02,FALSE,,,,1,FALSE,16074,,
H030-0078,0,0,1,H030-0078,0,EA,900-1810,900-1810 STTF04,FALSE,,,,1,FALSE,16076,,
H030-0082,0,0,1,H030-0082,0,EA,900-1814,900-1814 STTF08,FALSE,,,,1,FALSE,16080,,
H030-0084,0,0,1,H030-0084,0,EA,900-1818,900-1818 STTF12,FALSE,,,,1,FALSE,16082,,
A045-0006,0,0,1,A045-0006,0,EA,MS-301 MS-SSSP WING PLATE,MS-301 MS-SSSP WING PLATE,FALSE,,,,1,FALSE,8025,,
A045-0007,0,0,1,A045-0007,0,EA,MS-302 MS-SSSP MAIN PLATE & NUTS,MS-302 MS-SSSP MAIN PLATE & NUTS,FALSE,,,,1,FALSE,8033,,
S002-1110,0,0,1,S002-1110,0,EA,622122 WMT; ENGAGE; CABLE; MOUNT; CS,622122 WMT; ENGAGE; CABLE; MOUNT; CS,FALSE,,,,1,FALSE,13061,,
S039-1213,0,0,1,S039-1213,0,EA,417-001-664,417-001-664,FALSE,,,,1,FALSE,16508,,
C040-0049,0,0,1,C040-0049,0,EA,"PLATE DETAIL J (3"" X 1.5"" X 5/16"") GR50 ASTM A572","PLATE DETAIL J (3"" X 1.5"" X 5/16"") GR50 ASTM A572",FALSE,,,,1,FALSE,16691,,
H031-0034,0,0,1,H031-0034,0,EA,HDEV-14-LA23-002,HDEV-14-LA23-002-.25 HRPO 4.0IN X 3.3126 IN,FALSE,,,,1,FALSE,15820,,
W006-0001,0,0,1,W006-0001,0,EA,ROD-RACK 3S,ROD-RACK 3S,FALSE,,,,1,FALSE,5781,,
S046-0107,0,0,1,S046-0107,0,EA,120-045 INPUT BUS MTG PLATE,120-045 INPUT BUS MTG PLATE,FALSE,,,,1,FALSE,16046,,
S039-1180,0,0,1,S039-1180,0,EA,T-434305-02,"PLATE .5, STL MILD X 5.61 X 6.78",FALSE,,,,1,FALSE,16408,,
S025-0562,0,0,1,S025-0562,0,EA,1568-03099-0S SPACER,1568-03099-0S SPACER,FALSE,,,,1,FALSE,9105,,
S039-1181,0,0,1,S039-1181,0,EA,T-635128-01,"PLATE .5, STL MILD X 16.1 X 60.57 FORMED",FALSE,,,,1,FALSE,16409,,
R024-0019,0,0,1,R024-0019,0,EA,18584,PLATFORM CROSSOVER 300 SER,FALSE,,,,1,FALSE,16945,,
A045-0010,0,0,1,A045-0010,0,EA,"MS-401 MS-8"" EXTENDED BEAM BASE & (2) ANCHORS",ZINC PLATED,FALSE,,,,1,FALSE,5386,,
D011-0289,0,0,1,D011-0289,0,EA,2.08542E+11,PLATE 208542122115,FALSE,,,,1,FALSE,15500,,
D011-0290,0,0,1,D011-0290,0,EA,2.08542E+11,PLATE 208542122120,FALSE,,,,1,FALSE,15501,,
D011-0294,0,0,1,D011-0294,0,EA,2.08544E+11,PLATE 208544393204,FALSE,,,,1,FALSE,15507,,
D011-0292,0,0,1,D011-0292,0,EA,2.08542E+11,PLATE  208542122108,FALSE,,,,1,FALSE,15499,,
D011-0293,0,0,1,D011-0293,0,EA,2.08544E+11,PLATE 208544393216,FALSE,,,,1,FALSE,15513,,
P014-0003,0,0,1,P014-0003,0,EA,"Clover Shim 1.258"" Hole","Clover Shim 1.258"" Hole",FALSE,,,,1,FALSE,,,
A045-0005,0,0,1,A045-0005,0,EA,MS-300 MS-SSSP BRACKET CAP,ALIGNMENT PLATE WELDED INNER RING,FALSE,,,,1,FALSE,8029,,
EXPEDITE FEE,0,0,1,EXPEDITE FEE,0,EA,EXPEDITION FEE,Fee for expedited production.,FALSE,,,,1,FALSE,,,
S046-0018,0,0,1,S046-0018,0,EA,115-016 DUAL-F19-REAR-EXHAUST,115-016 DUAL-F19-REAR-EXHAUST,FALSE,,,,1,FALSE,13764,,
P014-0004,0,0,1,P014-0004,0,EA,"Clover Shim 2.010"" Hole","Clover Shim 2.010"" Hole",FALSE,,,,1,FALSE,9000,,
S046-0057,0,0,1,S046-0057,0,EA,4X16-CPQ-TURN-TABS,105-026 4X16-CPQ-TURN-TABS,FALSE,,,,1,FALSE,5465,,
M030-0319,0,0,1,M030-0319,0,EA,117005404 BRC BTL BRKT AL .102 X 2.28 X 9.88,(CUSTOMER SUPPLIED .102 X 59 X 96 W PVC),FALSE,,,,1,FALSE,5655,,
A053-0054,0,0,1,A053-0054,0,EA,46480 99000 Cover SDG220,46480 99000 Cover SDG220,FALSE,,,,1,FALSE,15141,,
A053-0055,0,0,1,A053-0055,0,EA,46480 99100 Cover SDG220,46480 99100 Cover SDG220,FALSE,,,,1,FALSE,15123,,
S038-0499,0,0,1,S038-0499,0,EA,ACPF4004,"4"" 7GA COL PROT-FRMD-4""",FALSE,,,,1,FALSE,6212,,
S046-0073,0,0,1,S046-0073,0,EA,125-006 KPRP-WHITE REDUCER PLATE KEYPAD WHITE,125-006 KPRP-WHITE REDUCER PLATE KEYPAD WHITE,FALSE,,,,1,FALSE,15213,,
S038-0380,0,0,1,S038-0380,0,EA,ACPF4024  4'' 7 GA COL PROT-FRMD-24'',ACPF4024  4'' 7 GA COL PROT-FRMD-24'',FALSE,,,,1,FALSE,5740,,
A045-0015,0,0,1,A045-0015,0,EA,SETTLESTOP WALL BRACE VERSION-3 FORMED ANGLE,SETTLESTOP WALL BRACE VERSION-3 FORMED ANG MS-501,FALSE,,,,1,FALSE,,,
S046-0090,0,0,1,S046-0090,0,EA,105-064 BSB-INPUT-OUTPUT-CVR-PLT,105-064 PANEL COVER PLATE B-SPONGE BOB,FALSE,,,,1,FALSE,5538,,
S038-0599,0,0,1,S038-0599,0,EA,KP-CR KICK PLATE CORNER CLIP,KP-CR KICK PLATE CORNER CLIP,FALSE,,,,1,FALSE,8619,,
S038-0880,0,0,1,S038-0880,0,EA,HS07-5X039IA03141X340024,"HS07-5X039IA03141X340024 Sheet, HS 7 Ga. 5"" x 39""",FALSE,,,,1,FALSE,12805,,
S038-0413,0,0,1,S038-0413,0,EA,ACPF4048,"4""7 GA COL PROT-FRMD-48 1/32",FALSE,,,,1,FALSE,8201,,
